Timestamp,1. What is your age?,2. What is your gender?,3. What is your occupation?,4. What is your highest level of education?,5. Have you ever used an AI tool?,6. Which AI tools have you used?,7. How often do you use AI?,8. How much time do you spend using AI each day?,9. Why do you use AI?,10. AI helps me learn faster.,11. AI improves my productivity.,12. I try to solve problems on my own before asking AI.,13. AI has made me more dependent on technology.,14. AI has improved my creativity.,15. AI has reduced my independent thinking.,16. Do you verify AI-generated information before using it?,17. How much do you trust AI-generated information?,18. Should students use AI for assignments?,19. Should AI be taught in schools and colleges?,20. AI helps me complete tasks more quickly.,21. Have you ever used AI for assignments or work?,22. Do you think AI will create more jobs than it replaces?,23. Can AI replace teachers?,24. Can AI replace doctors?,25. Can AI replace software engineers?,26. Should governments regulate AI?,27. What is the biggest benefit of AI?,28. What is your biggest concern about AI?,29. In which areas do you think AI will have the greatest impact in the future?,30. Which concerns do you have about AI?,31. Share your thoughts about AI in one or two sentences.
7/11/2026 17:27:43,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, DeepSeek, Meta AI",Multiple times a day,Less than 30 minutes,"Studying, Coding, Research, Writing, Entertainment",3,2,Sometimes,4,5,3,Sometimes,Sometimes,Only for guidance,Yes,4,Yes,Maybe,Partially,No,Partially,3,Saves Time,Overdependence,"Education, Healthcare, Software Development, Transportation, Manufacturing","Privacy Issues, Security Risks, Lack of Human Creativity",
7/11/2026 17:41:13,23–30,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Multiple times a day,30–60 minutes,"Studying, Coding, Office Work, Entertainment",4,4,Sometimes,4,4,4,Always,Mostly,No,Yes,4,Yes,No,No,No,No,4,Saves Time,Overdependence,"Education, Software Development, Entertainment","Job Loss, Privacy Issues, Overdependence on Technology, Lack of Human Creativity, Misuse of AI",
7/11/2026 17:51:31,23–30,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity",Multiple times a day,1–2 hours,"Studying, Coding, Office Work, Entertainment, Brainstorming",4,3,Sometimes,3,2,4,Sometimes,Mostly,Only for guidance,Yes,4,Yes,No,Yes,Yes,Yes,3,Saves Time,Job Loss,"Education, Healthcare, Software Development, Entertainment","Job Loss, Security Risks, Misuse of AI",
7/11/2026 17:51:46,18–22,Female,Employee,Postgraduate,Yes,"ChatGPT, Microsoft Copilot, Claude",Daily,1–2 hours,"Studying, Coding, Office Work, Research, Writing",4,4,Rarely,4,4,4,Rarely,Mostly,Yes,Yes,4,Yes,Maybe,Yes,Yes,Yes,4,Improves Learning,Privacy,Software Development,"Job Loss, Security Risks, Overdependence on Technology, Lack of Human Creativity",
7/11/2026 17:52:19,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, Meta AI",Daily,1–2 hours,"Studying, Coding, Research, Brainstorming",4,4,Sometimes,4,4,4,Sometimes,Completely,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,3,Improves Learning,Job Loss,"Education, Healthcare, Software Development, Business and Finance, Transportation, Entertainment, Manufacturing","Job Loss, Privacy Issues, Security Risks, Overdependence on Technology, Lack of Human Creativity",
7/11/2026 17:52:27,18–22,Male,Freelancer,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, DeepSeek",Daily,Less than 30 minutes,"Studying, Coding, Research, Writing, Entertainment, Brainstorming",4,4,Often,4,4,4,Sometimes,Mostly,Yes,Yes,4,Yes,Maybe,Yes,Partially,Partially,4,Saves Time,Job Loss,"Education, Healthcare, Transportation, Entertainment, Agriculture, Manufacturing","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",
7/11/2026 17:52:39,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, Meta AI",Daily,Less than 30 minutes,"Studying, Coding, Office Work, Research, Writing, Content Creation, Entertainment, Brainstorming, ",4,4,Sometimes,4,4,4,Sometimes,Sometimes,Only for guidance,Not Sure,4,Prefer not to say,No,Partially,No,No,2,Improves Learning,Security Risks,Entertainment,Lack of Human Creativity,
7/11/2026 17:52:47,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI, ",Multiple times a day,Less than 30 minutes,"Studying, Coding, Research, Content Creation, Entertainment, Brainstorming",5,5,Always,1,5,1,Never,Sometimes,Only for guidance,No,5,Yes,Yes,No,Yes,Yes,5,Improves Learning,Privacy,"Healthcare, Business and Finance, Transportation, Entertainment, Agriculture","Privacy Issues, Security Risks, Bias and Unfair Decisions, Lack of Human Creativity",
7/11/2026 17:53:18,18–22,Female,Employee,Undergraduate,Yes,"ChatGPT, Meta AI",Daily,30–60 minutes,"Studying, Coding, Office Work",5,5,Often,4,4,5,Always,Sometimes,Only for guidance,Yes,5,Yes,Yes,No,No,Yes,5,Makes Work Easier,Job Loss,"Education, Healthcare, Software Development, Business and Finance, Transportation, Entertainment, Manufacturing","Job Loss, Privacy Issues, Security Risks, Overdependence on Technology, Misuse of AI",
7/11/2026 17:59:03,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, Meta AI",Multiple times a day,30–60 minutes,"Studying, Coding, Research, Writing, Content Creation, Entertainment, Brainstorming",5,4,Sometimes,5,4,4,Sometimes,Mostly,Yes,Yes,4,Yes,Maybe,Partially,No,Yes,4,Increases Productivity,Job Loss,"Education, Healthcare, Agriculture",Security Risks,
7/11/2026 17:59:22,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Perplexity, ",A few times a week,Less than 30 minutes,"Studying, Coding, Office Work, Research, ",4,5,Never,5,2,5,Rarely,Mostly,Only for guidance,No,5,Yes,Maybe,Partially,No,Yes,1,Saves Time,Job Loss,"Education, Software Development, Business and Finance, Agriculture","Job Loss, Incorrect Information, Overdependence on Technology, Lack of Human Creativity",
7/11/2026 18:00:40,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Meta AI",Multiple times a day,More than 2 hours,"Studying, Coding, Research, Writing",5,4,Sometimes,5,4,5,Never,Mostly,Yes,Yes,5,Yes,No,Yes,Partially,Yes,5,Saves Time,Job Loss,"Education, Healthcare, Agriculture","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",
